lhub_ts,Account_Name,_time,index,New_Process_ID,Process_Command_Line,Creator_Process_ID,Creator_Process_Name,Security_ID,ComputerName,New_Process_Name,Account_Domain
1565284352000,"Bill2,-",2019-08-08T12:12:32.000-05:00,local,15F4,whoami,2658,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\whoami.exe,"HOST2,-"
1565284349000,"Bill2,-",2019-08-08T12:12:29.000-05:00,local,28F0,hostname,2658,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\HOSTNAME.EXE,"HOST2,-"
1565283601000,"Bill2,-",2019-08-08T12:00:01.000-05:00,local,AA0,Ifconfig /all,2658,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\ipconfig.exe,"HOST2,-"
1565283358000,"Bill2,-",2019-08-08T11:55:58.000-05:00,local,2F98,quser,2658,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\quser.exe,"HOST2,-"
1565246104000,"HOST2$,LOCAL SERVICE",2019-08-08T01:35:04.000-05:00,local,1084,C:\WINDOWS\system32\sc.exe start w32time task_started,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-5-19",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,NT AUTHORITY"
1565213780000,"HOST2$,-",2019-08-07T16:36:20.000-05:00,local,27F8,C:\WINDOWS\system32\sc.exe start wuauserv,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1565206689000,"HOST2$,-",2019-08-07T14:38:09.000-05:00,local,A58,C:\WINDOWS\system32\sc.exe start wuauserv,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1565166469000,"HOST2$,-",2019-08-07T03:27:49.000-05:00,local,2D00,C:\WINDOWS\system32\sc.exe start wuauserv,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1565166258000,"HOST2$,-",2019-08-07T03:24:18.000-05:00,local,2500,C:\WINDOWS\system32\sc.exe start wuauserv,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1565152530000,"HOST2$,LOCAL SERVICE",2019-08-06T23:35:30.000-05:00,local,9B4,C:\WINDOWS\system32\sc.exe start w32time task_started,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-5-19",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,NT AUTHORITY"
1565127336000,"HOST2$,-",2019-08-06T16:35:36.000-05:00,local,1018,C:\WINDOWS\system32\sc.exe start wuauserv,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1565106729000,"HOST2$,-",2019-08-06T10:52:09.000-05:00,local,2028,C:\WINDOWS\system32\sc.exe start wuauserv,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1565058929000,"HOST2$,LOCAL SERVICE",2019-08-05T21:35:29.000-05:00,local,15DC,C:\WINDOWS\system32\sc.exe start w32time task_started,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-5-19",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,NT AUTHORITY"
1565040944000,"HOST2$,-",2019-08-05T16:35:44.000-05:00,local,2E14,C:\WINDOWS\system32\sc.exe start wuauserv,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1565023112000,"HOST2$,-",2019-08-05T11:38:32.000-05:00,local,2CCC,C:\WINDOWS\system32\sc.exe start pushtoinstall registration,810,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1565022715000,"George,-",2019-08-05T11:31:55.000-05:00,local,2780,ipconfig  /all,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\ipconfig.exe,"HOST2,-"
1565021612000,"George,-",2019-08-05T11:13:32.000-05:00,local,2BC8,sc  qc,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"HOST2,-"
1565021609000,"George,-",2019-08-05T11:13:29.000-05:00,local,2A88,sc  queryex,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"HOST2,-"
1565021597000,"George,-",2019-08-05T11:13:17.000-05:00,local,24F8,sc  query,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"HOST2,-"
1565021591000,"George,-",2019-08-05T11:13:11.000-05:00,local,1A7C,sc  /query,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"HOST2,-"
1565021583000,"George,-",2019-08-05T11:13:03.000-05:00,local,2BB4,whoami,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\whoami.exe,"HOST2,-"
1565021571000,"George,-",2019-08-05T11:12:51.000-05:00,local,A84,tasklist,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\tasklist.exe,"HOST2,-"
1565021516000,"George,-",2019-08-05T11:11:56.000-05:00,local,28D4,systeminfo,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\systeminfo.exe,"HOST2,-"
1565021508000,"George,-",2019-08-05T11:11:48.000-05:00,local,2608,qwinsta,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\qwinsta.exe,"HOST2,-"
1565021500000,"George,-",2019-08-05T11:11:40.000-05:00,local,19C8,quser,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\quser.exe,"HOST2,-"
1565021496000,"George,-",2019-08-05T11:11:36.000-05:00,local,798,net,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\net.exe,"HOST2,-"
1565021493000,"George,-",2019-08-05T11:11:33.000-05:00,local,2BA8,ipconfig,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\ipconfig.exe,"HOST2,-"
1565021490000,"George,-",2019-08-05T11:11:30.000-05:00,local,20E8,hostname,1FB4,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",HOST2,C:\Windows\System32\HOSTNAME.EXE,"HOST2,-"
1564971381000,"HOST2$,LOCAL SERVICE",2019-08-04T21:16:21.000-05:00,local,5E8,C:\WINDOWS\system32\sc.exe start w32time task_started,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-5-19",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,NT AUTHORITY"
1564954576000,"HOST2$,-",2019-08-04T16:36:16.000-05:00,local,1280,C:\WINDOWS\system32\sc.exe start wuauserv,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1564943803000,"HOST2$,-",2019-08-04T13:36:43.000-05:00,local,1728,C:\WINDOWS\system32\sc.exe start wuauserv,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1564926674000,"HOST2$,-",2019-08-04T08:51:14.000-05:00,local,1BE8,C:\WINDOWS\system32\sc.exe start wuauserv,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1564884978000,"HOST2$,LOCAL SERVICE",2019-08-03T21:16:18.000-05:00,local,19A4,C:\WINDOWS\system32\sc.exe start w32time task_started,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-5-19",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,NT AUTHORITY"
1564868163000,"HOST2$,-",2019-08-03T16:36:03.000-05:00,local,478,C:\WINDOWS\system32\sc.exe start wuauserv,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1564816440000,"HOST2$,-",2019-08-03T02:14:00.000-05:00,local,F1C,C:\WINDOWS\system32\sc.exe start wuauserv,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1564791378000,"HOST2$,LOCAL SERVICE",2019-08-02T19:16:18.000-05:00,local,1994,C:\WINDOWS\system32\sc.exe start w32time task_started,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-5-19",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,NT AUTHORITY"
1564781782000,"HOST2$,-",2019-08-02T16:36:22.000-05:00,local,EE4,C:\WINDOWS\system32\sc.exe start wuauserv,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1564766892000,"HOST2$,-",2019-08-02T12:28:12.000-05:00,local,94C,C:\WINDOWS\system32\sc.exe start wuauserv,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1564704975000,"HOST2$,LOCAL SERVICE",2019-08-01T19:16:15.000-05:00,local,E3C,C:\WINDOWS\system32\sc.exe start w32time task_started,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-5-19",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,NT AUTHORITY"
1564695349000,"HOST2$,-",2019-08-01T16:35:49.000-05:00,local,9AC,C:\WINDOWS\system32\sc.exe start wuauserv,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
1564681747000,"HOST2$,-",2019-08-01T12:49:07.000-05:00,local,DB4,C:\WINDOWS\system32\sc.exe start wuauserv,5AC,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",HOST2,C:\Windows\System32\sc.exe,"WORKGROUP,-"
