lhub_ts,dest_ip,count,dest_port,action
,10.6.1.117,1,8009,allowed
,10.6.1.133,1,8009,allowed
,10.6.1.51,1,42918,allowed
,100.24.81.90,1,443,allowed
,100.25.70.183,1,443,allowed
,100.26.37.176,1,443,allowed
,103.20.94.1,31,443,allowed
,103.24.121.21,1,443,allowed
,104.100.50.222,1,443,allowed
,104.100.53.183,1,443,allowed
,104.100.59.200,3,443,allowed
,104.100.59.67,1,443,allowed
,104.115.141.114,3,443,allowed
,104.115.141.134,7,443,allowed
,104.115.145.252,1,443,allowed
,104.154.126.109,1,4070,allowed
,104.154.126.130,1,4070,allowed
,104.154.126.131,1,4070,allowed
,104.154.126.131,1,443,allowed
,104.154.126.133,1,4070,allowed
,104.154.126.160,1,4070,allowed
,104.154.126.213,2,80,allowed
,104.154.126.231,1,80,allowed
,104.154.126.237,1,4070,allowed
,104.154.126.27,1,443,allowed
,104.154.127.128,1,80,allowed
,104.154.127.152,1,4070,allowed
,104.154.127.174,1,4070,allowed
,104.154.127.19,1,80,allowed
,104.154.127.236,1,443,allowed
,104.154.127.237,1,80,allowed
,104.154.127.4,1,4070,allowed
,104.154.127.46,1,80,allowed
,104.154.127.47,14,443,allowed
,104.154.127.47,22,80,allowed
,104.154.127.76,1,4070,allowed
,104.154.127.97,1,80,allowed
,104.154.127.98,1,4070,allowed
,104.154.63.20,60,5100,blocked
,104.16.0.35,3,443,allowed
,104.16.108.18,4,443,allowed
,104.16.109.18,2,443,allowed
,104.16.123.175,1,443,allowed
,104.16.124.175,2,443,allowed
,104.16.147.95,2,443,allowed
,104.16.148.95,4,443,allowed
,104.16.15.243,1,443,allowed
,104.16.171.188,1,443,allowed
,104.16.176.44,4,443,allowed
,104.16.190.66,2,443,allowed
,104.16.2.35,3,443,allowed
,104.16.214.59,4,443,allowed
,104.16.226.51,5,443,allowed
,104.16.246.12,1,443,allowed
,104.16.249.5,5,443,allowed
,104.16.250.5,1,443,allowed
,104.16.251.5,3,443,allowed
,104.16.252.5,7,443,allowed
,104.16.253.5,5,443,allowed
,104.16.27.35,1,443,allowed
,104.16.28.34,1,443,allowed
,104.16.31.34,1,443,allowed
,104.16.35.63,3,443,allowed
,104.16.36.63,3,443,allowed
,104.16.51.111,2,443,allowed
,104.16.52.111,5,443,allowed
,104.16.53.111,2,443,allowed
,104.16.55.111,1,443,allowed
