lhub_ts,Security_ID,_Count,Account_Domain,ComputerName,New_Process_Name,Account_Name,Process_Command_Line,Creator_Process_Name,startTime,endTime
,"S-1-5-20,S-1-5-21-2818115297-1122405967-1646991738-1195",20,"HQ1,HQ1",Host3,D:\Program Files\Splunk\bin\python.exe,HOST2$,"""D:\Program Files\Splunk\bin\python.EXE"" ""D:\Program Files\Splunk\Python-2.7\Lib\site-packages\splunk\persistconn\appserver.py""",D:\Program Files\Splunk\bin\splunkd.exe,1567296000000,1567382400000
,"S-1-5-20,S-1-0-0",11,"HQ1,HQ1",Host3,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Gord,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1576,10398090197269731942,17827660859688023,131072 --lang=en-US --extension-process --enable-auto-reload --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=10393928409245136520 --renderer-client-id=812 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5460 /prefetch:1",C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,1567296000000,1567382400000
,"S-1-5-18,S-1-5-21-2818115297-1122405967-1646991738-1211",2,"HQ1,HQ1",Server14.CONTOSO.local,C:\Windows\System32\conhost.exe,SERVER14$,\??\C:\Windows\system32\conhost.exe 0xffffffff,,1567296000000,1567382400000
,"S-1-5-20,S-1-5-21-2818115297-1122405967-1646991738-1195",14,"HQ1,HQ1",Server14.CONTOSO.local,C:\Windows\System32\Essentials\RunTask.exe,SERVER14$,"C:\Windows\System32\Essentials\RunTask.exe /asm:""C:\Program Files\Windows Server\Bin\WebApps\MacWebService\bin\Microsoft.WindowsServerSolutions.MacIntegration.MacWebService.dll"" /class:Microsoft.WindowsServerSolutions.MacIntegration.MacTasks /method:SetOnlineOffline /task:""Macintosh Status Report""",,1567296000000,1567382400000
,"S-1-5-20,S-1-0-0",11,"HQ1,HQ1",Host3,C:\Windows\System32\conhost.exe,HOST2$,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\dmclient.exe,1567296000000,1567382400000
,"S-1-5-18,S-1-5-21-2818115297-1122405967-1646991738-1211",2,"HQ1,HQ1",Host3,C:\Windows\System32\dmclient.exe,HOST2$,C:\WINDOWS\system32\dmclient.exe utcwnf,C:\Windows\System32\svchost.exe,1567296000000,1567382400000
,"S-1-5-20,S-1-5-21-2818115297-1122405967-1646991738-1195",21,"HQ1,HQ1",Host3,C:\Windows\System32\SearchFilterHost.exe,HOST2$,"""C:\WINDOWS\system32\SearchFilterHost.exe"" 0 772 776 784 8192 780",C:\Windows\System32\SearchIndexer.exe,1567382400000,1567468800000
,"S-1-5-20,S-1-0-0",11,"HQ1,HQ1",Host3,C:\Temp\cmd.exe,Gord,cmd,C:\Windows\System32\cmd.exe,1567382400000,1567468800000
,"S-1-5-18,S-1-5-21-2818115297-1122405967-1646991738-1211",2,"HQ1,HQ1",Host3,C:\Windows\System32\bitsadmin.exe,Gord,bitsadmin  /reset,C:\Windows\System32\cmd.exe,1567382400000,1567468800000
,"S-1-5-20,S-1-5-21-2818115297-1122405967-1646991738-1195",22,"HQ1,HQ1",Host3,C:\Windows\System32\bitsadmin.exe,Gord,bitsadmin  /Complete 1,C:\Windows\System32\cmd.exe,1567382400000,1567468800000
,"S-1-5-20,S-1-0-0",11,"HQ1,HQ1",Host3,C:\Windows\System32\bitsadmin.exe,Gord,bitsadmin  /RESUME 1,C:\Windows\System32\cmd.exe,1567382400000,1567468800000
,"S-1-5-18,S-1-5-21-2818115297-1122405967-1646991738-1211",2,"HQ1,HQ1",Host3,C:\Windows\System32\bitsadmin.exe,Gord,bitsadmin  /addfile 1 c:\windows\system32\cmd.exe c:\Temp\cmd.exe,C:\Windows\System32\cmd.exe,1567382400000,1567468800000
,"S-1-5-20,S-1-5-21-2818115297-1122405967-1646991738-1195",21,"HQ1,HQ1",Host3,C:\Windows\System32\svchost.exe,HOST2$,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s BITS,C:\Windows\System32\services.exe,1567382400000,1567468800000
,"S-1-5-20,S-1-0-0",11,"HQ1,HQ1",Host3,C:\Windows\System32\bitsadmin.exe,Gord,bitsadmin  /create 1,C:\Windows\System32\cmd.exe,1567382400000,1567468800000
,"S-1-5-18,S-1-5-21-2818115297-1122405967-1646991738-1211",2,"HQ1,HQ1",Host3,C:\Windows\System32\conhost.exe,Gord,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe,1567382400000,1567468800000
,"S-1-5-18,S-1-5-21-2818115297-1122405967-1646991738-1211",2,"HQ1,HQ1",Host3,C:\Windows\SysWOW64\dllhost.exe,HOST2$,C:\WINDOWS\SysWOW64\DllHost.exe /Processid:{06622D85-6856-4460-8DE1-A81921B41C4B},C:\Windows\System32\svchost.exe,1567382400000,1567468800000
,"S-1-5-18,S-1-5-21-2818115297-1122405967-1646991738-1211",2,"HQ1,HQ1",Host3,C:\Windows\System32\cmd.exe,Gord,"""C:\Windows\System32\cmd.exe""",C:\Windows\explorer.exe,1567382400000,1567468800000
