lhub_ts,Account_Name,_sourcetype,New_Process_ID,Process_Command_Line,Creator_Process_ID,_pre_msg,ComputerName,_indextime,Account_Domain,_raw,index,_time,_bkt,_serial,_cd,Creator_Process_Name,Security_ID,New_Process_Name,_si
1567700705000,"HOST2$,-",WinEventLog:Security,1F88,"""D:\Program Files\Splunk\bin\python.EXE"" ""D:\Program Files\Splunk\Python-2.7\Lib\site-packages\splunk\persistconn\appserver.py""",FE4,"09/05/2019 11:25:05 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358570
Keywords=Audit Success",Host2,1567700706,"CONTOSO2,-","09/05/2019 11:25:05 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358570
Keywords=Audit Success
Message=A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		HOST2$
	Account Domain:		CONTOSO2
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x1f88
	New Process Name:	D:\Program Files\Splunk\bin\python.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		S-1-16-16384
	Creator Process ID:	0xfe4
	Creator Process Name:	D:\Program Files\Splunk\bin\splunkd.exe
	Process Command Line:	""D:\Program Files\Splunk\bin\python.EXE"" ""D:\Program Files\Splunk\Python-2.7\Lib\site-packages\splunk\persistconn\appserver.py""

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",local,2019-09-05T11:25:05.000-05:00,local~28~F2F5F36E-46B6-4517-BE8B-6DB8DF13C5C8,35,28:5952845,D:\Program Files\Splunk\bin\splunkd.exe,"S-1-5-18,S-1-0-0",D:\Program Files\Splunk\bin\python.exe,"Host2,local"
1567700694000,"Gord,-",WinEventLog:Security,16A8,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1576,10398090197269731942,17827660859688023,131072 --lang=en-US --extension-process --enable-auto-reload --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=10393928409245136520 --renderer-client-id=812 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5460 /prefetch:1",23C8,"09/05/2019 11:24:54 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358556
Keywords=Audit Success",Host2,1567700695,"HOST2,-","09/05/2019 11:24:54 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358556
Keywords=Audit Success
Message=A new process has been created.

Creator Subject:
	Security ID:		S-1-5-21-1052468160-575763930-2460412666-1001
	Account Name:		Gord
	Account Domain:		HOST2
	Logon ID:		0x37594

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x16a8
	New Process Name:	C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
	Token Elevation Type:	%%1938
	Mandatory Label:		S-1-16-4096
	Creator Process ID:	0x23c8
	Creator Process Name:	C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
	Process Command Line:	""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1576,10398090197269731942,17827660859688023,131072 --lang=en-US --extension-process --enable-auto-reload --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=10393928409245136520 --renderer-client-id=812 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5460 /prefetch:1

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",local,2019-09-05T11:24:54.000-05:00,local~28~F2F5F36E-46B6-4517-BE8B-6DB8DF13C5C8,49,28:5951927,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"Host2,local"
1567700687000,"SERVER14$,-",WinEventLog:Security,2F18,\??\C:\Windows\system32\conhost.exe 0xffffffff,206C,"09/05/2019 11:24:47 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Server14.CONTOSO.local
TaskCategory=Process Creation
OpCode=Info
RecordNumber=132769109
Keywords=Audit Success",Server14.CONTOSO.local,1567700703,"CONTOSO,-","09/05/2019 11:24:47 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Server14.CONTOSO.local
TaskCategory=Process Creation
OpCode=Info
RecordNumber=132769109
Keywords=Audit Success
Message=A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		SERVER14$
	Account Domain:		CONTOSO
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x2f18
	New Process Name:	C:\Windows\System32\conhost.exe
	Token Elevation Type:	TokenElevationTypeDefault (1)
	Creator Process ID:	0x206c
	Process Command Line:	\??\C:\Windows\system32\conhost.exe 0xffffffff

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",cont,2019-09-05T11:24:47.000-05:00,cont~33~F2F5F36E-46B6-4517-BE8B-6DB8DF13C5C8,58,33:918533,,"S-1-5-18,S-1-0-0",C:\Windows\System32\conhost.exe,"Host2,cont"
1567700687000,"SERVER14$,-",WinEventLog:Security,206C,"C:\Windows\System32\Essentials\RunTask.exe /asm:""C:\Program Files\Windows Server\Bin\WebApps\MacWebService\bin\Microsoft.WindowsServerSolutions.MacIntegration.MacWebService.dll"" /class:Microsoft.WindowsServerSolutions.MacIntegration.MacTasks /method:SetOnlineOffline /task:""Macintosh Status Report""",288,"09/05/2019 11:24:47 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Server14.CONTOSO.local
TaskCategory=Process Creation
OpCode=Info
RecordNumber=132769108
Keywords=Audit Success",Server14.CONTOSO.local,1567700703,"CONTOSO,-","09/05/2019 11:24:47 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Server14.CONTOSO.local
TaskCategory=Process Creation
OpCode=Info
RecordNumber=132769108
Keywords=Audit Success
Message=A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		SERVER14$
	Account Domain:		CONTOSO
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x206c
	New Process Name:	C:\Windows\System32\Essentials\RunTask.exe
	Token Elevation Type:	TokenElevationTypeDefault (1)
	Creator Process ID:	0x288
	Process Command Line:	C:\Windows\System32\Essentials\RunTask.exe /asm:""C:\Program Files\Windows Server\Bin\WebApps\MacWebService\bin\Microsoft.WindowsServerSolutions.MacIntegration.MacWebService.dll"" /class:Microsoft.WindowsServerSolutions.MacIntegration.MacTasks /method:SetOnlineOffline /task:""Macintosh Status Report""

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",cont,2019-09-05T11:24:47.000-05:00,cont~33~F2F5F36E-46B6-4517-BE8B-6DB8DF13C5C8,59,33:918465,,"S-1-5-18,S-1-0-0",C:\Windows\System32\Essentials\RunTask.exe,"Host2,cont"
1567700668000,"HOST2$,-",WinEventLog:Security,2B70,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,23F8,"09/05/2019 11:24:28 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358542
Keywords=Audit Success",Host2,1567700669,"CONTOSO2,-","09/05/2019 11:24:28 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358542
Keywords=Audit Success
Message=A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		HOST2$
	Account Domain:		CONTOSO2
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x2b70
	New Process Name:	C:\Windows\System32\conhost.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		S-1-16-16384
	Creator Process ID:	0x23f8
	Creator Process Name:	C:\Windows\System32\dmclient.exe
	Process Command Line:	\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",local,2019-09-05T11:24:28.000-05:00,local~28~F2F5F36E-46B6-4517-BE8B-6DB8DF13C5C8,71,28:5951006,C:\Windows\System32\dmclient.exe,"S-1-5-18,S-1-0-0",C:\Windows\System32\conhost.exe,"Host2,local"
1567700668000,"HOST2$,-",WinEventLog:Security,23F8,C:\WINDOWS\system32\dmclient.exe utcwnf,4D8,"09/05/2019 11:24:28 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358541
Keywords=Audit Success",Host2,1567700669,"CONTOSO2,-","09/05/2019 11:24:28 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358541
Keywords=Audit Success
Message=A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		HOST2$
	Account Domain:		CONTOSO2
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x23f8
	New Process Name:	C:\Windows\System32\dmclient.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		S-1-16-16384
	Creator Process ID:	0x4d8
	Creator Process Name:	C:\Windows\System32\svchost.exe
	Process Command Line:	C:\WINDOWS\system32\dmclient.exe utcwnf

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",local,2019-09-05T11:24:28.000-05:00,local~28~F2F5F36E-46B6-4517-BE8B-6DB8DF13C5C8,72,28:5950944,C:\Windows\System32\svchost.exe,"S-1-5-18,S-1-0-0",C:\Windows\System32\dmclient.exe,"Host2,local"
1567700641000,"HOST2$,-",WinEventLog:Security,186C,"""C:\WINDOWS\system32\SearchFilterHost.exe"" 0 772 776 784 8192 780",1C0C,"09/05/2019 11:24:01 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358513
Keywords=Audit Success",Host2,1567700642,"CONTOSO2,-","09/05/2019 11:24:01 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358513
Keywords=Audit Success
Message=A new process has been created.

Creator Subject:
	Security ID:		S-1-5-18
	Account Name:		HOST2$
	Account Domain:		CONTOSO2
	Logon ID:		0x3E7

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x186c
	New Process Name:	C:\Windows\System32\SearchFilterHost.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		S-1-16-8192
	Creator Process ID:	0x1c0c
	Creator Process Name:	C:\Windows\System32\SearchIndexer.exe
	Process Command Line:	""C:\WINDOWS\system32\SearchFilterHost.exe"" 0 772 776 784 8192 780 

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",local,2019-09-05T11:24:01.000-05:00,local~28~F2F5F36E-46B6-4517-BE8B-6DB8DF13C5C8,100,28:5949122,C:\Windows\System32\SearchIndexer.exe,"S-1-5-18,S-1-0-0",C:\Windows\System32\SearchFilterHost.exe,"Host2,local"
1567700639000,"Gord,-",WinEventLog:Security,2850,cmd,2244,"09/05/2019 11:23:59 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358511
Keywords=Audit Success",Host2,1567700640,"HOST2,-","09/05/2019 11:23:59 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358511
Keywords=Audit Success
Message=A new process has been created.

Creator Subject:
	Security ID:		S-1-5-21-1052468160-575763930-2460412666-1001
	Account Name:		Gord
	Account Domain:		HOST2
	Logon ID:		0x37594

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x2850
	New Process Name:	C:\Temp\cmd.exe
	Token Elevation Type:	%%1938
	Mandatory Label:		S-1-16-8192
	Creator Process ID:	0x2244
	Creator Process Name:	C:\Windows\System32\cmd.exe
	Process Command Line:	cmd

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",local,2019-09-05T11:23:59.000-05:00,local~28~F2F5F36E-46B6-4517-BE8B-6DB8DF13C5C8,102,28:5948995,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",C:\Temp\cmd.exe,"Host2,local"
1567700613000,"Gord,-",WinEventLog:Security,10F4,bitsadmin  /reset,2244,"09/05/2019 11:23:33 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358495
Keywords=Audit Success",Host2,1567700614,"HOST2,-","09/05/2019 11:23:33 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358495
Keywords=Audit Success
Message=A new process has been created.

Creator Subject:
	Security ID:		S-1-5-21-1052468160-575763930-2460412666-1001
	Account Name:		Gord
	Account Domain:		HOST2
	Logon ID:		0x37594

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x10f4
	New Process Name:	C:\Windows\System32\bitsadmin.exe
	Token Elevation Type:	%%1938
	Mandatory Label:		S-1-16-8192
	Creator Process ID:	0x2244
	Creator Process Name:	C:\Windows\System32\cmd.exe
	Process Command Line:	bitsadmin  /reset

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",local,2019-09-05T11:23:33.000-05:00,local~28~F2F5F36E-46B6-4517-BE8B-6DB8DF13C5C8,124,28:5947945,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",C:\Windows\System32\bitsadmin.exe,"Host2,local"
1567700613000,"Gord,-",WinEventLog:Security,8E+04,bitsadmin  /Complete 1,2244,"09/05/2019 11:23:33 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358494
Keywords=Audit Success",Host2,1567700614,"HOST2,-","09/05/2019 11:23:33 AM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4688
EventType=0
Type=Information
ComputerName=Host2
TaskCategory=Process Creation
OpCode=Info
RecordNumber=3358494
Keywords=Audit Success
Message=A new process has been created.

Creator Subject:
	Security ID:		S-1-5-21-1052468160-575763930-2460412666-1001
	Account Name:		Gord
	Account Domain:		HOST2
	Logon ID:		0x37594

Target Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x8e4
	New Process Name:	C:\Windows\System32\bitsadmin.exe
	Token Elevation Type:	%%1938
	Mandatory Label:		S-1-16-8192
	Creator Process ID:	0x2244
	Creator Process Name:	C:\Windows\System32\cmd.exe
	Process Command Line:	bitsadmin  /Complete 1 

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator.",local,2019-09-05T11:23:33.000-05:00,local~28~F2F5F36E-46B6-4517-BE8B-6DB8DF13C5C8,125,28:5947883,C:\Windows\System32\cmd.exe,"S-1-5-21-1052468160-575763930-2460412666-1001,S-1-0-0",C:\Windows\System32\bitsadmin.exe,"Host2,local"
