lhub_ts,Account_Name,_time,index,New_Process_ID,Creator_Process_ID,Creator_Process_Name,Security_ID,ComputerName,New_Process_Name,Account_Domain,_kv
1550160752000,"Administrator,-",2019-02-14T10:12:32.000-06:00,wintel,2FE4,1080,C:\Windows\cscript.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",WINDOWS-5M8M95H.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160752000,"Administrator,-",2019-02-14T10:12:32.000-06:00,wintel,2A30,1080,C:\Windows\quser.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",WINDOWS-5M8M95H.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160142000,"Administrator,-",2019-02-14T10:12:32.000-06:00,wintel,2A30,1080,C:\Windows\quser.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",WINDOWS-5M8M95H.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160142000,"Ben,-",2019-02-14T10:12:32.000-06:00,wintel,2FE4,1080,C:\Windows\cscript.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",WINDOWS-asdf.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160142000,"Ben,-",2019-02-14T10:12:32.000-06:00,wintel,2A30,1080,C:\Windows\quser.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",WINDOWS-asdf.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160140000,"Ben,-",2019-02-14T10:12:32.000-06:00,wintel,2A30,1080,C:\Windows\qwinsta.exe,"S-1-5-21-2818115297-1122405967-1646991738-500,S-1-0-0",WINDOWS-asdf.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160140000,"DELTA$,-",2019-02-14T10:02:22.000-06:00,wintel,2278,898,C:\Program Files\rempl\attrib.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550160138000,"DELTA$,-",2019-02-14T10:02:22.000-06:00,wintel,1D28,898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550158042000,"DELTA$,-",2019-02-14T10:02:22.000-06:00,wintel,DC,898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550158042000,"DELTA$,-",2019-02-14T10:02:20.000-06:00,wintel,1E90,898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157837000,"DELTA$,-",2019-02-14T10:02:20.000-06:00,wintel,13C0,898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
1550157615000,"DELTA$,-",2019-02-14T10:02:18.000-06:00,wintel,FAC,898,C:\Program Files\rempl\sedlauncher.exe,"S-1-5-18,S-1-0-0",delta.hq1.com,C:\Windows\System32\cmd.exe,"HQ1,-",1
