lhub_ts,Account_Name,_time,index,New_Process_ID,Process_Command_Line,Creator_Process_ID,New_Process_Name,Security_ID,ComputerName,Creator_Process_Name,Account_Domain
1.56096E+12,"ben,-",2019-06-19T09:45:17.000-05:00,bene,0x1efc,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6339159179300809175 --renderer-client-id=4012 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6804 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56096E+12,Gord,2019-06-19T09:45:16.000-05:00,local,0x304,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=17559730042181279446 --renderer-client-id=3187 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=7176 /prefetch:1",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
1.56096E+12,"SERVERTEST$,-",2019-06-19T09:44:47.000-05:00,bene,0x2620,\??\C:\Windows\system32\conhost.exe 0xffffffff,0x930,C:\Windows\System32\conhost.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56096E+12,"SERVERTEST$,-",2019-06-19T09:44:47.000-05:00,bene,0x930,"C:\Windows\System32\Essentials\RunTask.exe /asm:""C:\Program Files\Windows Server\Bin\WebApps\MacWebService\bin\Microsoft.WindowsServerSolutions.MacIntegration.MacWebService.dll"" /class:Microsoft.WindowsServerSolutions.MacIntegration.MacTasks /method:SetOnlineOffline /task:""Macintosh Status Report""",0x21c,C:\Windows\System32\Essentials\RunTask.exe,"S-1-5-18,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56096E+12,Gord,2019-06-19T09:44:46.000-05:00,local,0x2c54,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --service-sandbox-type=utility --service-request-channel-token=4429256293168767227 --mojo-platform-channel-handle=5480 --ignored="" --type=renderer "" /prefetch:8",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
1.56096E+12,Gord,2019-06-19T09:43:46.000-05:00,local,0x2e30,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --service-sandbox-type=utility --service-request-channel-token=9136888651740377195 --mojo-platform-channel-handle=6536 --ignored="" --type=renderer "" /prefetch:8",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
1.56096E+12,SPLUNK2$,2019-06-19T09:43:25.000-05:00,local,0x356c,taskhostw.exe USER,0x7e0,C:\Windows\System32\taskhostw.exe,admin,Splunk2,C:\Windows\System32\svchost.exe,WORKGROUP
1.56096E+12,"ben,-",2019-06-19T09:42:18.000-05:00,bene,0x37c4,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1300,2772169660324377946,1072921058181861210,131072 --disable-gpu-compositing --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=8524748965705843725 --renderer-client-id=4011 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=9360 /prefetch:1",0x630,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,"S-1-5-21-4074083065-1943752578-90242396-1117,S-1-0-0",ServerTest.Contoso.local,,"CONTOSO,-"
1.56096E+12,SPLUNK2$,2019-06-19T09:41:52.000-05:00,local,0x3720,C:\WINDOWS\system32\svchost.exe -k appmodel -p -s camsvc,0x37c,C:\Windows\System32\svchost.exe,admin,Splunk2,C:\Windows\System32\services.exe,WORKGROUP
1.56096E+12,Gord,2019-06-19T09:41:16.000-05:00,local,0x377c,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1836,14607855324383857227,15415048851676924760,131072 --lang=en-US --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=8321351707085474657 --renderer-client-id=3184 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=9872 /prefetch:1",0x2020,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,admin,Splunk2,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,SPLUNK2
